סמל מוסד,שם מוסד,שם מנהל
141853,מעלות בית יעקב,אריה רוב
141861,בי סמינר רמות שמסיאב,יסמינה שמילה
141895,בנות ויזניץ,אסתר לדרמן
141911,דמשק אליעזר ויזניץ,משה גשטטנר
141929,בית חוה,הניה אקער
141978,אנקורי,בועז עילם
142018,ישיבת נתיבות יעקב,מרדכי דרמר
142034,תיכון בית יעקב,אסתר רחל וינגרטן
142075,דחסידי גור,דינה כהן
142083,חוות דעת,בן ציון קוגלר
142158,אדרת אליהו,ירמיהו זילברמן
142166,אולפנת לבונה,נורית בן זמרה
142174,"ישיבת בנ""ע אורות יהודה",אמיר סנדלר
142190,בית יעקב עלי באר,בן ציון קוק
142216,אמרי בינה,יוסף חיים תייר
142232,ישיבת תומכי תמימים,מרדכי מישולובין
142265,"סוסיא-ישיבת בני""ע",נעם יצחק פרל
142281,"ישיבת בנ""ע כינור דוד",מרדכי יעקב הרשקוף
142315,תפארת לוי,משה הלוי
142331,ישיבת זכרון אליעזר,אברהם ברוך אבא רקובסקי
142372,ישיבת אורייתא תודה ודעת,ישראל אסייג
142398,ניצנים,ענבר מנשה
142406,דתי מיצד,יוסף זילברמן
142646,"ת""ת הדר יוסף",שי בן שלום
142729,"ת""ת במסילה נעלה",יצחק שלמה אדרי
142935,אורחות איש,אביעזר גליקסברג
143164,מוסדות טשכנוב,מנחם שלמה בקרמן
143404,אהל שילה בנים,רפאל ממן
143883,"ת""ת גירסת ישראל",יוסף פומרנץ
144071,עטרת התורה,אהרן יוסף לוי
144097,המרכז הישראלי למצוינות בחינוך,דן פסלר
144147,ישיבת זרע יצחק,חיים צבי גרין
144162,ישיבת תפארת התלמוד,ברכיהו שינקר
144196,המדרשה החסידית,משה מלמוד
144212,ישיבה תיכונית,אבינועם טוביה הורוביץ
144220,תורני נסויי הרטמן,שאול דוד
144238,מכללת אבראהימיה,אמין באשה
144246,ישיבת מעלות חיים,אהרן פרנק איזנר
144261,ישיבת חיי משה,בנימין בייניש קאהן-מינץ
144287,"ת""ת נתיבות שלמה",יהודה אריה לייב דלבקוביץ
144329,תיכון מכבים רעות,רוני אהרון פולט
144337,אולפנת רעיה,פייר חיים סולטן
144360,ישיבת מאור אליהו,משה דב מנדלסון
144410,ישיבת ישמח משה,יקותיאל מיכאל אלבז
144428,ישיבת צביה מ.אדומים,יוסף מנחם פרנקל
144501,תיכון הראל,ליאת שגב
144568,נעורים,מוריה טובה כובשי
144592,קדמה ירושלים,מיכל חדאד
144600,ישיבה שעלי תורה,חיים זאב אדלר
144626,תבל גבעה צרפתית,נחמה נשי נפתלי
144675,"ע""ש יצחק רבין עי""ס",רבקה ריקי נגרי
144683,עירוני א',דביר שלומי
144691,ישיבת נעם,אורי פנחס ביר
144717,"אולפנת בנ""ע אורות מודיעין",סגלית נחום
144741,"ע""ש רא""ל מרדכי גור",שרית סנואני
144758,"ישיבת בנ""ע פסגת זאב",רענן-יוסף שרמן
144766,"ישיבת בנ""ע נר תמיד חשמונאים",איתמר ליברמן
145466,"ת""ת פקודת אלעזר",שלום דונט
146878,בית הצייר,איתן שלמה צדוק הופמן
148056,תיכון בית צפאפא,מוחמד עליאן
148072,חליל אלסכאכיני לבנות,סנא עטארי
148080,מקיף אבו גוש,ווגיהה איברהים
148130,ישיבת נר שמואל,אהרן אריה בנון
148148,מאמוניה,גדיר טהבוב
148155,תיכון שועפט,נאדר נירוך
148163,ראשדיה,אסעד עוויס
148171,טרה סנטה יסודי,חנאן פתחו
148189,טרה סנטה גבשה בנים,איברהים פלתס
148197,מקיף בית חנינה,מגדי עוויסאת
148247,מקיף שש שנתי אלטור לבנים,מוחמד דעיס
148254,שועפט בנות ב',מיסון חלאק
148262,אלעלא,סלאם עיד
148270,אל בירוני,נזאר שחאדה
148288,כפר עקב,אוסאמה טוטח
160127,משכן התורה,דניאל ביטון
160135,שובו בית שמש,אסתר מלכה אקרמן
160192,אהבת תורה המסורה,ברוך לוי
160242,מקיף קשת,אורית צילה סומר
160259,ליבי,ענבל ישראלי
160283,בית יעקב חסידי,צירל הולצמן
160291,"ת""ת אור תורה",גד קרעי
160309,"ת""ת קרית ספר",יהודה שם טוב
160317,תת וישיבה דחסידי גור,יוסף אליהו כרמל
160341,בית יעקב באידיש,יחזקאל חיים הלפרין
160358,שערי תורה,חיים יעקב ווייל
160366,ישיבת באר יהודה,יצחק טופיק
160374,אולפנת דולב,אילן ביטון
160382,לחם ביכורים,יאיר כהן
160416,רעות קהילה דתית,עמיעד יעקב מלצר
160424,מגן אבות,דניאל ירמיהו מיירס
160432,ברנקו וייס מקיף בית שמש,שמעון ויס
160457,תיכון תורני עש אמתי,מיכאל יחיאל קרש
160473,אלוואדי למצוינות,דאליה עבאסי
160481,אדם ועולמו,דקלה מתתיהו
160499,"תל""י נופי הסלע",ליאת ולנסי
160523,ישיבת מיר לצעירים,מנחם גרשון זרצקי
160531,"מ""מד הר חומה",שרונה חנה שם טוב
160549,"אמי""ת איתן",דניאל יעקב בארי
160556,מרכז ישיבות וכוללים,אליהו חזן
160564,"ת""ת תורני עץ החיים",בלומה דורלכר
160580,"אולפנת בנ""ע ראש צורים",יהודה פלס
160598,ארץ הצבי,יוסף איזמן
160614,"ב""י תבונת יעקב",רחל שור
160630,מ. חינוכי בנות מוריה,נאוה אליה בלישע
160648,בית יעקב מרגלית,שפרה סעדון
160671,מנחת שלמה,גדליהו דבינסקי
160697,משואת נריה,רות סירי
160739,מנזר רוזרי,הודה קיקיה
160754,בשערייך,רחל צביה איילנברג
162016,מעוז ירושלים שיח סוד,חנה דבורה פעלד
162057,אוהל ברכה,ליזה סוויאד
162594,"בי""ס דו-לשוני",ג'והינה דכוור סלים
162628,אפיקים סולם,דבורה פליגלמן
163022,אור וערכים,אברהם אורן
163923,תורת אליהו,דוד טקשה
163931,"ת""ת וב""י שערי ציון",משה צבי שער
164186,חניכי הישיבות בנות,יעל רובידה בר ששת
164673,תלמוד תורה כתב סופר,אהרן יהודה אבלס
165118,תפארת בנים,אברהם גולד
165126,"ב""י ברסלב באר מרים",גולדה וינשטוק
165324,טלמון,אליהו נסים אזולאי
165472,ישיבת דעת תורה,מנחם חיים היילברון
165605,"ב""י הרמה",בתיה וייס
165738,אור אליעזר,חנוך הבלין
165845,תקוה לילד,רות שטרן
165852,"ישיבת בנ""ע לפיד מודיעין",שמואל חיים רוזנבלום
166074,מעלה מכמש,יאיר גיאת
166470,כרמי חן,אפרת חוזה
166538,אורה ושמחה,נעימה אריה
166769,בית יעקב כה תאמר,מרים סולטן
167015,בית יעקב בית וגן,רחל שלזינגר
167262,ישיבת פאר השלום,מרדכי אליהו רפאלי
168021,צור באהר בנות,הנאדי יעיש
168054,סדנת שילוב-גבעות,גיל קרמר
168393,ישיבת פאר התלמוד,יוסף חיים דרשן
168419,אולפנת צביה יצירתית,צפורה כהן
168427,"ת""ת קנין תורה",עמיצדק שלמה
169680,אור שרגא,ירון נאמן
170035,מקצועי בית יעקב,חיים רוזנצווייג
170043,תיכון דרור,רני חזון וייס
170092,"קשת ראם ע""ש אליס סליגסברג",גלית קמיניץ
170175,עמל ליידי דיוייס ירושלים,רפאל אלפסי
170282,בית עולות,ברכה סלוד
170399,חטיב אורט מינקןף,תמר כספי
170407,"מרכז נוער טכ' אמי""ת",בת שבע סיגאווי
170456,"אמי""ת טכנולוגי דתי",חיים משה גוטסמן
170514,אורט פלך בנים ספניאן,דורון לופז
170803,עמל תעופה וחלל,יהודית אילוק
171017,המכללה לטכנולוגיה,משה ווקנין
172023,"הראל ממ""ד",יאיר מרדכי בלולו
172171,יחד,מיכל מסודי אלבז
172189,קשת,קרן מרקוביץ
172197,האלה,בתיה מועלם
172205,חוט השני,אילנה רחמילביץ
172395,נהג כצאן יוסף,יוסף אוריאל
174391,חינוך ברמה לבנות,צפורה פייגה שנלזון
174623,נודע בשערים,שלמה גולדמן
174656,"ת""ת נתיבי התורה",אפרים אטלי
174664,כלל חסידי לאנשי י-ם,אלעזר קליין
174680,תלמוד תורה דביר,מיכאל בן שלמה
174748,"ת""ת חסידי אור",מיכאל יחיאל ארשטר
174821,"ת""ת הרא""ם",נפתלי סנדי שרייבר
175448,שלב חנמ למדעי הסביבה,נעמה רמות אילוז
175703,"ת""ת קדושת הלוי",יחיאל אדלר
176487,עמל בנות ציון ירושלים,הדסה אסתר עזר
176792,דרכי אבות צאנז ביתר,משה שלזינגר
176909,סמינר לבנות ירים משה,מיכל נינו
177071,שובך,צורית אבן אש
177287,ישכיל פיהו,אסתר בירנבאום
178061,אל מוקבר תיכון לבנות,דימה עלייאן
178079,על יסודי רב נתיבי,נהאד שוויקי
178137,אמירה בסמא,שירין סעיד
178145,סלואן יסודי חדש,יחיא נאבלסי
